{'epoch': 1, 'train_loss': 0.78259, 'eval_loss': 0.6899, 'scores': {'median_PSNR': 27.75118, 'median_SSIM': 0.34595}, 'train_time': 1.60001, 'eval_time': 0.30579}
{'epoch': 2, 'train_loss': 0.65045, 'eval_loss': 0.70236, 'scores': {'median_PSNR': 27.7119, 'median_SSIM': 0.34116}, 'train_time': 0.74434, 'eval_time': 0.27154}
{'epoch': 3, 'train_loss': 0.631, 'eval_loss': 0.67269, 'scores': {'median_PSNR': 27.70776, 'median_SSIM': 0.34448}, 'train_time': 0.71504, 'eval_time': 0.27629}
{'epoch': 4, 'train_loss': 0.63542, 'eval_loss': 0.66297, 'scores': {'median_PSNR': 27.71796, 'median_SSIM': 0.35137}, 'train_time': 0.70246, 'eval_time': 0.2843}
{'epoch': 5, 'train_loss': 0.63232, 'eval_loss': 0.64701, 'scores': {'median_PSNR': 27.71886, 'median_SSIM': 0.36672}, 'train_time': 0.69188, 'eval_time': 0.27845}
{'epoch': 6, 'train_loss': 0.65639, 'eval_loss': 0.57963, 'scores': {'median_PSNR': 27.77535, 'median_SSIM': 0.34543}, 'train_time': 0.72239, 'eval_time': 0.35381}
{'epoch': 7, 'train_loss': 0.59278, 'eval_loss': 1.21581, 'scores': {'median_PSNR': 27.92085, 'median_SSIM': 0.20129}, 'train_time': 0.69823, 'eval_time': 0.26373}
{'epoch': 8, 'train_loss': 0.7965, 'eval_loss': 0.66685, 'scores': {'median_PSNR': 27.72558, 'median_SSIM': 0.36573}, 'train_time': 0.70798, 'eval_time': 0.22765}
{'epoch': 9, 'train_loss': 0.63427, 'eval_loss': 0.71387, 'scores': {'median_PSNR': 27.7238, 'median_SSIM': 0.36021}, 'train_time': 0.73438, 'eval_time': 0.29418}
{'epoch': 10, 'train_loss': 0.63128, 'eval_loss': 0.62345, 'scores': {'median_PSNR': 27.74871, 'median_SSIM': 0.36969}, 'train_time': 0.70029, 'eval_time': 0.30797}
{'epoch': 11, 'train_loss': 0.60935, 'eval_loss': 0.58628, 'scores': {'median_PSNR': 27.77496, 'median_SSIM': 0.36767}, 'train_time': 0.67377, 'eval_time': 0.23933}
{'epoch': 12, 'train_loss': 0.65483, 'eval_loss': 1.33835, 'scores': {'median_PSNR': 27.79812, 'median_SSIM': 0.35046}, 'train_time': 0.70381, 'eval_time': 0.24288}
{'epoch': 13, 'train_loss': 0.87485, 'eval_loss': 0.62133, 'scores': {'median_PSNR': 27.8448, 'median_SSIM': 0.33419}, 'train_time': 0.68929, 'eval_time': 0.22731}
{'epoch': 14, 'train_loss': 0.60469, 'eval_loss': 0.62916, 'scores': {'median_PSNR': 27.7948, 'median_SSIM': 0.36767}, 'train_time': 0.71729, 'eval_time': 0.30666}
{'epoch': 15, 'train_loss': 0.62134, 'eval_loss': 0.56556, 'scores': {'median_PSNR': 27.79791, 'median_SSIM': 0.36645}, 'train_time': 0.6943, 'eval_time': 0.35112}
{'epoch': 16, 'train_loss': 0.59214, 'eval_loss': 0.54098, 'scores': {'median_PSNR': 27.82823, 'median_SSIM': 0.38631}, 'train_time': 0.73653, 'eval_time': 0.30498}
{'epoch': 17, 'train_loss': 0.5496, 'eval_loss': 0.51887, 'scores': {'median_PSNR': 27.81299, 'median_SSIM': 0.37038}, 'train_time': 0.64597, 'eval_time': 0.24131}
{'epoch': 18, 'train_loss': 0.52612, 'eval_loss': 0.43278, 'scores': {'median_PSNR': 28.09879, 'median_SSIM': 0.34495}, 'train_time': 0.66791, 'eval_time': 0.2542}
{'epoch': 19, 'train_loss': 0.48694, 'eval_loss': 0.43417, 'scores': {'median_PSNR': 28.12729, 'median_SSIM': 0.34501}, 'train_time': 0.71168, 'eval_time': 0.26895}
{'epoch': 20, 'train_loss': 0.48166, 'eval_loss': 0.4247, 'scores': {'median_PSNR': 28.01769, 'median_SSIM': 0.37052}, 'train_time': 0.70932, 'eval_time': 0.24976}
{'epoch': 21, 'train_loss': 0.48047, 'eval_loss': 0.44098, 'scores': {'median_PSNR': 28.08986, 'median_SSIM': 0.36665}, 'train_time': 0.71806, 'eval_time': 0.25439}
{'epoch': 22, 'train_loss': 0.45434, 'eval_loss': 0.43422, 'scores': {'median_PSNR': 28.15928, 'median_SSIM': 0.35934}, 'train_time': 0.69395, 'eval_time': 0.27141}
{'epoch': 23, 'train_loss': 0.45642, 'eval_loss': 0.41695, 'scores': {'median_PSNR': 28.17317, 'median_SSIM': 0.36435}, 'train_time': 0.70562, 'eval_time': 0.27712}
{'epoch': 24, 'train_loss': 0.4427, 'eval_loss': 0.35538, 'scores': {'median_PSNR': 28.14986, 'median_SSIM': 0.37014}, 'train_time': 0.73854, 'eval_time': 0.37548}
{'epoch': 25, 'train_loss': 0.42242, 'eval_loss': 0.36184, 'scores': {'median_PSNR': 28.11373, 'median_SSIM': 0.36575}, 'train_time': 0.71296, 'eval_time': 0.32129}
{'epoch': 26, 'train_loss': 0.41209, 'eval_loss': 0.33071, 'scores': {'median_PSNR': 28.16856, 'median_SSIM': 0.37045}, 'train_time': 0.63735, 'eval_time': 0.26284}
{'epoch': 27, 'train_loss': 0.38892, 'eval_loss': 0.33147, 'scores': {'median_PSNR': 28.23175, 'median_SSIM': 0.36764}, 'train_time': 0.72284, 'eval_time': 0.25543}
{'epoch': 28, 'train_loss': 0.3831, 'eval_loss': 0.3195, 'scores': {'median_PSNR': 28.27433, 'median_SSIM': 0.3694}, 'train_time': 0.72252, 'eval_time': 0.22968}
{'epoch': 29, 'train_loss': 0.38101, 'eval_loss': 0.31704, 'scores': {'median_PSNR': 28.19816, 'median_SSIM': 0.3719}, 'train_time': 0.73617, 'eval_time': 0.28635}
{'epoch': 30, 'train_loss': 0.37904, 'eval_loss': 0.31547, 'scores': {'median_PSNR': 28.18597, 'median_SSIM': 0.37947}, 'train_time': 0.69685, 'eval_time': 0.26148}
{'epoch': 31, 'train_loss': 0.37743, 'eval_loss': 0.30989, 'scores': {'median_PSNR': 28.24523, 'median_SSIM': 0.38659}, 'train_time': 0.694, 'eval_time': 0.28886}
{'epoch': 32, 'train_loss': 0.37741, 'eval_loss': 0.30912, 'scores': {'median_PSNR': 28.2393, 'median_SSIM': 0.38836}, 'train_time': 0.72271, 'eval_time': 0.25676}
{'epoch': 33, 'train_loss': 0.36286, 'eval_loss': 0.30241, 'scores': {'median_PSNR': 28.28897, 'median_SSIM': 0.37931}, 'train_time': 0.67025, 'eval_time': 0.25339}
{'epoch': 34, 'train_loss': 0.37187, 'eval_loss': 0.29533, 'scores': {'median_PSNR': 28.32786, 'median_SSIM': 0.38428}, 'train_time': 0.69461, 'eval_time': 0.26629}
{'epoch': 35, 'train_loss': 0.36321, 'eval_loss': 0.29364, 'scores': {'median_PSNR': 28.33033, 'median_SSIM': 0.38401}, 'train_time': 0.70793, 'eval_time': 0.28509}
{'epoch': 36, 'train_loss': 0.36507, 'eval_loss': 0.29391, 'scores': {'median_PSNR': 28.33946, 'median_SSIM': 0.38242}, 'train_time': 0.7294, 'eval_time': 0.41365}
{'epoch': 37, 'train_loss': 0.3483, 'eval_loss': 0.28959, 'scores': {'median_PSNR': 28.38098, 'median_SSIM': 0.38595}, 'train_time': 0.73385, 'eval_time': 0.24325}
{'epoch': 38, 'train_loss': 0.36266, 'eval_loss': 0.28404, 'scores': {'median_PSNR': 28.38646, 'median_SSIM': 0.38378}, 'train_time': 0.69085, 'eval_time': 0.28906}
{'epoch': 39, 'train_loss': 0.35301, 'eval_loss': 0.28388, 'scores': {'median_PSNR': 28.36255, 'median_SSIM': 0.38285}, 'train_time': 0.76417, 'eval_time': 0.26587}
{'epoch': 40, 'train_loss': 0.34861, 'eval_loss': 0.28079, 'scores': {'median_PSNR': 28.36783, 'median_SSIM': 0.3819}, 'train_time': 0.76968, 'eval_time': 0.25798}
{'epoch': 41, 'train_loss': 0.34749, 'eval_loss': 0.27996, 'scores': {'median_PSNR': 28.47283, 'median_SSIM': 0.38772}, 'train_time': 0.71864, 'eval_time': 0.24919}
{'epoch': 42, 'train_loss': 0.35526, 'eval_loss': 0.27618, 'scores': {'median_PSNR': 28.44274, 'median_SSIM': 0.39092}, 'train_time': 0.73398, 'eval_time': 0.25954}
{'epoch': 43, 'train_loss': 0.34717, 'eval_loss': 0.27244, 'scores': {'median_PSNR': 28.46034, 'median_SSIM': 0.39253}, 'train_time': 0.76521, 'eval_time': 0.24576}
{'epoch': 44, 'train_loss': 0.35163, 'eval_loss': 0.27085, 'scores': {'median_PSNR': 28.44995, 'median_SSIM': 0.39351}, 'train_time': 0.72521, 'eval_time': 0.37282}
{'epoch': 45, 'train_loss': 0.3398, 'eval_loss': 0.27119, 'scores': {'median_PSNR': 28.51356, 'median_SSIM': 0.39258}, 'train_time': 0.74405, 'eval_time': 0.23789}
{'epoch': 46, 'train_loss': 0.34555, 'eval_loss': 0.27131, 'scores': {'median_PSNR': 28.51248, 'median_SSIM': 0.39686}, 'train_time': 0.75151, 'eval_time': 0.29245}
{'epoch': 47, 'train_loss': 0.3347, 'eval_loss': 0.26858, 'scores': {'median_PSNR': 28.57376, 'median_SSIM': 0.39366}, 'train_time': 0.69957, 'eval_time': 0.24959}
