{'epoch': 1, 'train_loss': 0.71174, 'eval_loss': 0.04443, 'scores': {'psnr': 28.17112, 'ssim': 0.40101, 'scc': 0.00518, 'sam': 0.06038}, 'train_time': 5.82082, 'eval_time': 0.69714}
{'epoch': 2, 'train_loss': 0.05022, 'eval_loss': 0.0503, 'scores': {'psnr': 28.17972, 'ssim': 0.41044, 'scc': 0.00582, 'sam': 0.06533}, 'train_time': 4.55264, 'eval_time': 0.67198}
{'epoch': 3, 'train_loss': 0.04943, 'eval_loss': 0.03922, 'scores': {'psnr': 28.49725, 'ssim': 0.4322, 'scc': 0.00463, 'sam': 0.05806}, 'train_time': 4.52096, 'eval_time': 0.71971}
{'epoch': 4, 'train_loss': 0.04782, 'eval_loss': 0.03625, 'scores': {'psnr': 28.44755, 'ssim': 0.47439, 'scc': 0.00702, 'sam': 0.06018}, 'train_time': 4.4868, 'eval_time': 0.65937}
{'epoch': 5, 'train_loss': 0.0493, 'eval_loss': 0.04611, 'scores': {'psnr': 28.1275, 'ssim': 0.44191, 'scc': 0.00681, 'sam': 0.05854}, 'train_time': 4.62111, 'eval_time': 0.6736}
{'epoch': 6, 'train_loss': 0.04637, 'eval_loss': 0.04492, 'scores': {'psnr': 28.11181, 'ssim': 0.46167, 'scc': 0.00531, 'sam': 0.06012}, 'train_time': 4.43126, 'eval_time': 0.70635}
{'epoch': 7, 'train_loss': 0.0473, 'eval_loss': 0.03404, 'scores': {'psnr': 28.52641, 'ssim': 0.47122, 'scc': 0.00601, 'sam': 0.05708}, 'train_time': 4.57314, 'eval_time': 0.67019}
{'epoch': 8, 'train_loss': 0.04775, 'eval_loss': 0.03992, 'scores': {'psnr': 28.4419, 'ssim': 0.47045, 'scc': 0.00923, 'sam': 0.05843}, 'train_time': 4.68833, 'eval_time': 0.801}
{'epoch': 9, 'train_loss': 0.04598, 'eval_loss': 0.05338, 'scores': {'psnr': 28.08901, 'ssim': 0.47966, 'scc': 0.00934, 'sam': 0.05737}, 'train_time': 4.75162, 'eval_time': 0.71171}
{'epoch': 10, 'train_loss': 0.04615, 'eval_loss': 0.0613, 'scores': {'psnr': 28.00517, 'ssim': 0.45405, 'scc': 0.01115, 'sam': 0.06051}, 'train_time': 4.65268, 'eval_time': 0.72296}
{'epoch': 11, 'train_loss': 0.04684, 'eval_loss': 0.0406, 'scores': {'psnr': 28.2446, 'ssim': 0.46728, 'scc': 0.01155, 'sam': 0.05871}, 'train_time': 4.64271, 'eval_time': 0.76742}
{'epoch': 12, 'train_loss': 0.04535, 'eval_loss': 0.04239, 'scores': {'psnr': 28.06409, 'ssim': 0.47128, 'scc': 0.00474, 'sam': 0.0605}, 'train_time': 4.66397, 'eval_time': 0.72095}
